Salary,DOJ,DOL,Designation,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Period,12GradAge,gyear,GradAge,AverageScore,Acadperf
420000,2012-06-01,2022-09-23,senior quality engineer,Bengaluru,f,1990,84.3,state,2007,95.8,state,2,B.Tech/B.E.,CS,78.0,Andhra Pradesh,1970-01-01 00:00:00.000002011,515,585,525,0.635978756456794,445,0,0,0,0,0,0,0.9737,0.8128,0.5269,1.3549,-0.4455,10,17,1970,20,541.6666666666666,206.1
500000,2013-09-01,2022-09-23,assistant manager,Indore,m,1989,85.4,cbse,2007,85.0,cbse,2,B.Tech/B.E.,EC,70.06,Madhya Pradesh,1970-01-01 00:00:00.000002012,695,610,780,0.960603251997053,0,466,0,0,0,0,0,-0.7335,0.3789,1.2396,-0.1076,0.8637,9,18,1970,19,695.0,193.75333333333333
325000,2014-06-01,2022-09-23,systems engineer,Chennai,f,1992,85.0,cbse,2010,68.2,cbse,2,B.Tech/B.E.,CS,70.0,Uttar Pradesh,1970-01-01 00:00:00.000002014,615,545,370,0.450876584483451,395,0,0,0,0,0,0,0.2718,1.7109,0.1637,-0.8682,0.6721,8,18,1970,22,510.0,176.53333333333333
1100000,2011-07-01,2022-09-23,senior software engineer,Gurgaon,m,1989,85.6,cbse,2007,83.6,cbse,1,B.Tech/B.E.,CS,74.64,Delhi,1970-01-01 00:00:00.000002011,635,585,625,0.974396112538398,615,0,0,0,0,0,0,0.0464,0.3448,-0.344,-0.4078,-0.9194,11,18,1970,19,615.0,194.07999999999998
200000,2014-03-01,2015-03-01,system engineer,Manesar,m,1991,78.0,cbse,2008,76.8,cbse,2,B.Tech/B.E.,EC,73.9,Uttar Pradesh,1970-01-01 00:00:00.000002012,545,625,465,0.124502074009537,0,233,0,0,0,0,0,-0.880999999999999,-0.2793,-1.0697,0.0916299999999999,-0.1295,1,17,1970,21,545.0,179.43333333333334
300000,2014-06-01,2022-09-23,system engineer,Hyderabad,m,1992,89.92,state,2010,87.0,state,2,B.Tech/B.E.,EC,76.32,Karnataka,1970-01-01 00:00:00.000002014,560,555,620,-1.0,645,0,407,0,0,0,0,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,8,18,1970,22,578.3333333333334,202.36
300000,2014-08-01,2015-05-01,java software engineer,Bengaluru,m,1993,86.08,state,2010,67.5,state,2,B.Tech/B.E.,CS,72.98,Karnataka,1970-01-01 00:00:00.000002014,590,435,380,0.356536487724475,405,0,346,0,0,0,0,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,1,17,1970,23,468.3333333333333,177.90666666666664
400000,2014-07-01,2015-07-01,mechanical engineer,Bengaluru,m,1992,92.0,cbse,2010,91.0,cbse,1,B.Tech/B.E.,ME,8.58,Tamil Nadu,1970-01-01 00:00:00.000002016,545,555,590,0.829584599793067,0,0,0,469,0,0,0,-0.0154,1.2114,0.01,0.1459,1.247,1,18,1970,22,563.3333333333334,185.86
600000,2013-07-01,2022-09-23,electrical engineer,Noida,m,1991,90.0,cbse,2009,91.2,cbse,1,B.Tech/B.E.,EC,85.03,Delhi,1970-01-01 00:00:00.000002013,615,670,530,0.694479327708463,735,366,0,0,0,0,0,-0.159,0.5454,-0.6048,-0.7415,-0.2859,9,18,1970,21,605.0,209.54333333333332
230000,2014-07-01,2022-09-23,project engineer,Kolkata,m,1993,77.0,cbse,2010,72.2,cbse,2,B.Tech/B.E.,EC,78.0,West Bengal,1970-01-01 00:00:00.000002014,605,565,545,0.493596387301038,385,324,0,0,0,0,0,-1.308,0.5454,-0.9122,0.9066,0.0973,8,17,1970,23,571.6666666666666,175.2
600000,2011-04-01,2015-04-01,senior php developer,Bengaluru,m,1989,88.6,state,2006,83.7,state,2,B.Tech/B.E.,CS,74.9,Madhya Pradesh,1970-01-01 00:00:00.000002010,565,455,565,0.765673581234011,485,0,0,0,0,0,0,0.0464,0.8128,0.0914,0.1798,0.0284,4,17,1970,19,528.3333333333334,197.26666666666668
450000,2011-08-01,2014-10-01,senior systems engineer,Pune,m,1990,81.0,cbse,2007,86.0,cbse,1,B.Tech/B.E.,CS,72.29,Madhya Pradesh,1970-01-01 00:00:00.000002011,495,605,715,0.968237495890543,605,0,0,0,0,0,0,-2.272,1.1248,0.8171,-0.4078,-0.4455,3,17,1970,20,605.0,191.09666666666666
270000,2013-12-01,2022-09-23,quality assurance engineer,Pune,m,1990,83.6,state,2008,69.83,state,2,B.Tech/B.E.,EC,60.0,Maharashtra,1970-01-01 00:00:00.000002013,380,580,470,0.229481754911755,0,266,0,0,0,206,0,0.1282,0.5454,-0.7585,-0.995,0.8637,9,18,1970,20,476.6666666666667,173.43
200000,2014-01-01,2022-09-23,qa analyst,Gurgaon,m,1990,60.8,cbse,2008,62.4,cbse,2,B.Tech/B.E.,EC,60.0,Haryana,1970-01-01 00:00:00.000002012,495,425,645,0.538386892985096,385,333,0,0,0,0,0,0.3555,0.0328,-0.598,-0.2902,-1.2354,8,18,1970,20,521.6666666666666,143.2
300000,2013-07-01,2022-09-23,java software engineer,Bengaluru,m,1992,81.2,state,2008,79.9,state,2,B.Tech/B.E.,EC,67.67,Uttar Pradesh,1970-01-01 00:00:00.000002013,395,565,645,-1.0,495,0,376,0,0,0,0,0.7027,0.7119,0.01,-0.995,0.6721,9,16,1970,22,535.0,183.6566666666667
350000,2013-08-01,2022-09-23,network engineer,Bengaluru,f,1990,69.54,icse,2008,64.43,icse,2,B.Tech/B.E.,CS,63.0,Uttar Pradesh,1970-01-01 00:00:00.000002012,485,520,355,0.308400582860308,355,0,0,0,0,0,0,1.7465,1.9048,0.672,-0.2902,1.2528,9,18,1970,20,453.3333333333333,154.97000000000003
325000,2014-09-01,2022-09-23,product development engineer,Noida,m,1992,85.8,cbse,2010,74.8,cbse,2,B.Tech/B.E.,EC,64.8,Uttar Pradesh,1970-01-01 00:00:00.000002014,685,530,620,-1.0,515,0,0,0,0,0,0,1.1336,1.0449,0.7785,-0.6147,-0.8608,8,18,1970,22,611.6666666666666,182.2
250000,2013-08-01,2014-09-01,associate software developer,Gurgaon,m,1987,60.8,cbse,2006,66.66,cbse,2,MCA,CS,74.74,Delhi,1970-01-01 00:00:00.000002013,465,585,515,0.911395278391328,545,0,500,0,0,0,0,0.8463,1.0449,-1.0659,-1.6289,0.6721,1,19,1970,17,521.6666666666666,152.37333333333333
120000,2014-01-01,2014-06-01,data entry operator,Gurgaon,m,1992,65.0,state,2008,64.8,icse,2,B.Tech/B.E.,CS,69.54,Uttar Pradesh,1970-01-01 00:00:00.000002013,465,495,515,0.563267823666597,425,0,0,0,0,0,0,-0.159,0.3789,1.3933,-0.2344,1.4386,0,16,1970,22,491.6666666666667,152.98000000000002
325000,2014-09-01,2022-09-23,software engineer,Pune,f,1990,79.0,cbse,2008,62.2,cbse,2,B.Tech/B.E.,CS,76.3,Uttar Pradesh,1970-01-01 00:00:00.000002012,485,445,435,0.864685413370085,525,0,0,0,0,0,0,0.8192,0.2668,-0.2714,-0.4078,-0.1295,8,18,1970,20,455.0,166.63333333333333
320000,2010-11-01,2012-09-01,software engineer,Bengaluru,f,1988,91.2,state,2006,84.63,state,2,B.Tech/B.E.,CS,78.15,Karnataka,1970-01-01 00:00:00.000002010,455,535,445,0.635978756456794,445,0,0,0,0,0,0,-0.1082,0.9688,0.5269,-0.2902,0.3444,2,18,1970,18,478.3333333333333,201.88
200000,2012-08-01,2013-12-01,software engineer,Bengaluru,f,1991,75.67,state,2007,74.4,state,2,B.Tech/B.E.,CS,74.01,Uttar Pradesh,1970-01-01 00:00:00.000002012,385,555,445,0.635978756456794,445,0,0,0,0,0,0,-1.0355,-0.5913,-1.3599,0.0622299999999999,-1.3539,1,16,1970,21,461.6666666666667,174.74
190000,2013-10-01,2015-04-01,developer,Hyderabad,m,1992,92.5,state,2009,95.2,state,2,B.Tech/B.E.,EC,76.0,Telangana,1970-01-01 00:00:00.000002013,395,455,485,-1.0,455,0,0,0,0,0,0,-0.4463,-0.6201,-0.6048,0.7798,-2.7769,2,17,1970,22,445.0,213.03333333333333
